DP1	DP2	DPtotal
4586	263	4850
3858	1303	5163
5724	96	5822
5778	63	5844
5028	851	5881
5720	269	5990
5153	836	6051
5481	822	6308
5479	812	6516
3168	2043	6506
6807	247	7057
2200	4210	7030
6770	405	7179
7023	122	7149
6806	355	7164
6872	206	7079
6489	567	7058
6911	194	7110
5043	1717	6763
6260	546	6810
6588	147	6737
6203	178	6459
6309	288	6597
4706	1668	6529
4844	1576	6420
6327	95	6424
5330	321	5655
3589	1937	5534
4386	234	4621
3463	1123	4590
4142	394	4537
7075	483	7564
7100	508	7610
7811	115	7933
7364	537	7904
2016	6097	8125
7914	319	8240
8164	109	8274
7861	408	8272
8129	110	8247
7535	982	8521
8737	124	8863
7733	1043	8779
8285	534	8823
9068	293	9371
8869	575	9447
8865	586	9462
9222	130	9362
8972	346	9323
8743	590	9340
8921	174	9099
1953	5363	9124
8695	428	9126
8973	124	9117
8420	316	8741
8534	446	8989
9073	142	9335
9156	137	9299
7890	629	8527
5889	2290	8185
7814	267	8088
6324	1649	7976
7733	189	7930
6104	209	6316
6338	107	6448
6758	163	6921
7050	122	7175
7290	178	7473
7412	215	7627
7749	123	7875
7689	184	7873
7025	201	7230
5473	1272	6753
6072	125	6204
5962	116	6085
5541	93	5641
3854	1300	5190
4664	197	4867
3404	938	4344
3698	82	3782
3804	26	3846
3615	220	3860
3984	35	4068
3523	47	3639
3841	32	3911
4194	23	4277
3997	149	4236
3913	53	4020
4164	518	4816
5044	58	5105
4944	76	5025
2254	2578	4861
5306	131	5441
5402	121	5523
5423	120	5549
4657	830	5490
6858	167	7031
6102	1051	7175
3608	3635	7246
6999	476	7478
5511	269	5785
5639	50	5690
4389	123	4513
4352	232	4584
4450	171	4621
4701	118	4820
4721	233	4954
4893	121	5015
4722	308	5031
4931	133	5066
5003	44	5047
5001	49	5050
4939	123	5062
4958	137	5097
4978	88	5066
4895	128	5057
4718	224	4974
4899	61	4964
4962	239	5202
4934	296	5230
5243	145	5392
4431	751	5186
5048	117	5166
4967	196	5165
4871	262	5133
4972	124	5096
4368	382	5083
4736	264	5033
4675	341	5018
4591	222	4816
4593	202	4797
4259	471	4731
4381	80	4465
2757	28	2852
2755	31	2855
2080	713	2861
2749	30	2848
2511	299	2931
3231	31	3278
3404	68	3475
3541	44	3588
3419	106	3585
3525	82	3628
2868	585	3562
3176	371	3606
3531	73	3664
3077	212	3349
3152	217	3401
3167	54	3338
2960	258	3273
3128	118	3291
5302	91	5397
5297	121	5533
6610	185	6795
6731	76	6809
6259	598	6859
6363	609	6973
6868	45	6949
6605	243	6925
6594	43	6904
6488	135	6886
6487	135	6888
6408	237	6916
4952	1648	6863
6767	73	6845
6696	178	6880
6623	240	6865
6656	167	6825
6482	67	6552
6176	268	6449
6167	515	6685
6601	260	6878
6724	164	6892
2886	3966	6858
6967	2167	9138
3222	29	3283
3239	66	3305
3469	386	3857
783	3100	3886
63	3755	3819
3565	78	3660
824	2612	3453
982	2386	3376
3469	61	3532
3259	141	3403
3241	84	3332
3296	116	3412
2846	205	3054
2810	81	2902
5447	54	5502
2516	3036	5552
5609	54	5665
5471	265	5738
5650	163	5816
4662	824	5914
5966	98	6066
5914	132	6048
6052	143	6201
6434	61	6506
4501	2010	6514
6729	156	7012
7112	145	7259
6863	338	7206
6705	479	7186
6762	235	7169
6332	504	7157
6526	553	7086
5184	1857	7047
6929	140	7073
6588	446	7036
6384	350	7043
6679	351	7032
6592	163	6756
6620	190	6816
6732	78	6811
6676	92	6770
6635	146	6783
6539	132	6674
6465	132	6600
6454	127	6592
6336	181	6528
6227	247	6478
6225	209	6434
6195	155	6351
6235	146	6381
6160	128	6290
1318	4935	6279
5491	174	5671
4827	243	5233
4833	234	5068
3615	1359	4976
4854	89	4945
4601	103	4713
4126	443	4618
5569	273	5846
5765	254	6023
6671	284	6957
6897	154	7054
6812	318	7135
6837	438	7276
6981	653	7653
7948	89	8041
7628	797	8441
8147	419	8573
8210	160	8376
8163	359	8522
7925	569	8501
8217	268	8499
7924	399	8395
8168	181	8350
7853	393	8260
6538	1202	7771
6579	760	7443
7131	224	7358
6277	804	7356
6995	298	7298
6876	374	7257
6617	514	7137
6545	497	7051
6792	183	6976
2677	4254	6933
6156	66	6226
5520	906	6428
6352	203	6570
6854	457	7314
6248	1004	7256
7236	220	7460
7130	314	7452
6070	931	7006
6271	75	6350
6181	96	6283
5458	652	6112
3763	69	4110
3789	246	4093
3902	66	4136
3608	251	4135
3996	214	4270
4096	192	4348
4000	255	4371
4197	237	4492
4527	109	4695
4583	110	4773
4522	209	4790
4357	155	4676
4616	49	4723
4440	316	4820
4612	185	4798
4516	273	4791
5073	61	5325
4677	378	5515
5543	162	5735
5350	300	5793
5460	252	5773
5685	142	5833
5132	630	5778
5870	87	5963
6084	43	6141
6065	146	6278
6223	276	6502
6195	353	6549
6301	273	6578
6316	212	6531
6098	293	6458
5912	393	6306
5844	389	6237
6092	124	6230
5676	290	6128
5146	946	6101
